
GrupoA

/home/user/GrupoA /home/user
There are 31 tests
GrupoA |DEBUG GrupoA_tests/e4/2024_2/kjl00 10 "(ERRO) linha 3: "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl15 10 "Error: Assignment to undeclared variable a on line 4. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl16 10 "Error: Call to undeclared function g on line 4. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl17 10 "Error: Call to undeclared function h on line 3. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl18 11 "Error: Redeclaration of variable a (int) on line 11: Found previous declaration a (int) on line 5. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl19 0 ""
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl20 10 "Error: Assignment to undeclared variable a on line 6. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl21 10 "Error: Assignment to undeclared variable a on line 6. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl22 10 "Error: Call to undeclared function g on line 7. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl23 10 "Error: Assignment to undeclared variable v on line 6. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl24 11 "Error: Redeclaration of function f > int on line 7: Found previous declaration f > int on line 2. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl25 10 "Error: Call to undeclared function g on line 10. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl26 0 ""
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl27 11 "Error: Redeclaration of function g > int on line 8: Found previous declaration g > int on line 2. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl28 11 "Error: Redeclaration of parameter a <- int on line 2: Found previous declaration a <- int on line 2. "
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl29 0 ""
GrupoH |DEBUG GrupoH_tests/e4/2024_2/kjl30 11 "Error: Redeclaration of function main > int on line 7: Found previous declaration main > int on line 2. "
/home/user

GrupoJ

/home/user/GrupoJ /home/user
There are 31 tests
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl00 10 "Erro na linha 3: símbolo não declarado. O símbolo a não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl01 11 "Erro na linha 4: símbolo já declarado. O símbolo a foi previamente declarado na linha 3. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl02 11 "Erro na linha 4: símbolo já declarado. O símbolo a foi previamente declarado na linha 3. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl03 0 ""
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl04 11 "Erro na linha 16: símbolo já declarado. O símbolo f foi previamente declarado na linha 2. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl05 11 "Erro na linha 10: símbolo já declarado. O símbolo a foi previamente declarado na linha 3. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl06 0 "0x56227e0812a0 [label= g ]; "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl07 10 "Erro na linha 3: símbolo não declarado. O símbolo a não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl08 11 "Erro na linha 3: símbolo já declarado. O símbolo b foi previamente declarado na linha 2. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl09 10 "Erro na linha 4: símbolo não declarado. O símbolo b não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl10 10 "Erro na linha 3: símbolo não declarado. O símbolo a não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl11 10 "Erro na linha 4: símbolo não declarado. O símbolo a não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl12 10 "Erro na linha 3: símbolo não declarado. O símbolo b não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl13 10 "Erro na linha 3: símbolo não declarado. O símbolo a não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl14 10 "Erro na linha 3: símbolo não declarado. O símbolo a não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl15 10 "Erro na linha 4: símbolo não declarado. O símbolo a não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl16 10 "Erro na linha 4: símbolo não declarado. O símbolo g não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl17 10 "Erro na linha 3: símbolo não declarado. O símbolo h não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl18 11 "Erro na linha 11: símbolo já declarado. O símbolo a foi previamente declarado na linha 5. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl19 0 "0x55e2389e52a0 [label= f ]; "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl20 10 "Erro na linha 6: símbolo não declarado. O símbolo a não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl21 10 "Erro na linha 6: símbolo não declarado. O símbolo a não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl22 10 "Erro na linha 7: símbolo não declarado. O símbolo g não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl23 10 "Erro na linha 6: símbolo não declarado. O símbolo v não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl24 11 "Erro na linha 7: símbolo já declarado. O símbolo f foi previamente declarado na linha 2. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl25 10 "Erro na linha 10: símbolo não declarado. O símbolo g não foi declarado. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl26 0 "0x55741df3f2e0 [label= g ]; "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl27 11 "Erro na linha 8: símbolo já declarado. O símbolo g foi previamente declarado na linha 2. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl28 11 "Erro na linha 2: símbolo já declarado. O símbolo a foi previamente declarado na linha 2. "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl29 0 "0x5644a52e22a0 [label= f ]; "
GrupoJ |DEBUG GrupoJ_tests/e4/2024_2/kjl30 11 "Erro na linha 7: símbolo já declarado. O símbolo main foi previamente declarado na linha 2. "
/home/user

GrupoK

/home/user/GrupoK /home/user
There are 31 tests
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl00 10 "ERRO na linha 3: A variavel a nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl01 11 "ERRO na linha 4: O nome a ja esta sendo usado neste escopo. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl02 11 "ERRO na linha 4: O nome a ja esta sendo usado neste escopo. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl03 0 "Erro: asd_print recebeu parâmetro tree = (nil). "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl04 0 "0x556c0f5043f0 [label= f ]; "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl05 11 "ERRO na linha 10: O nome a ja esta sendo usado neste escopo. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl06 0 "0x556a131fb3f0 [label= g ]; "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl07 10 "ERRO na linha 3: A variavel a nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl08 11 "ERRO na linha 3: O nome b ja esta sendo usado neste escopo. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl09 10 "ERRO na linha 4: A variavel b nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl10 10 "ERRO na linha 3: A variavel a nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl11 10 "ERRO na linha 4: A variavel a nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl12 10 "ERRO na linha 3: A variavel b nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl13 10 "ERRO na linha 3: A variavel a nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl14 10 "ERRO na linha 3: A variavel a nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl15 10 "ERRO na linha 4: A variavel a nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl16 10 "ERRO na linha 4: A funcao g foi chamada sem ter sido declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl17 10 "ERRO na linha 3: A funcao h foi chamada sem ter sido declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl18 11 "ERRO na linha 11: O nome a ja esta sendo usado neste escopo. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl19 0 "0x5588571cf3f0 [label= f ]; "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl20 10 "ERRO na linha 6: A variavel a nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl21 10 "ERRO na linha 6: A variavel a nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl22 10 "ERRO na linha 7: A funcao g foi chamada sem ter sido declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl23 10 "ERRO na linha 6: A variavel v nao foi declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl24 11 "ERRO na linha 9: O nome b ja esta sendo usado neste escopo. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl25 10 "ERRO na linha 10: A funcao g foi chamada sem ter sido declarada. "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl26 0 "0x5614a0863490 [label= g ]; "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl27 0 "0x55f7abe2d490 [label= g ]; "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl28 0 "0x55b9ae1775d0 [label= f ]; "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl29 0 "0x558cb3f743f0 [label= f ]; "
GrupoK |DEBUG GrupoK_tests/e4/2024_2/kjl30 0 "0x55be238423f0 [label= main ]; "
/home/user

GrupoL

/home/user/GrupoL /home/user
There are 31 tests
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl00 10 "Erro na linha 3, variavel a nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl01 11 "Erro na linha 4, identificador a já declarado na linha 3 "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl02 11 "Erro na linha 4, identificador a já declarado na linha 3 "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl03 0 ""
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl04 11 "Erro na linha 16, funcao f já declarada na linha 2 "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl05 11 "Erro na linha 10, identificador a já declarado na linha 3 "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl06 0 "0x560a8e845410 [label= g ]; "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl07 10 "Erro na linha 3, variavel a nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl08 11 "Erro na linha 3, identificador b já declarado na linha 2 "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl09 10 "Erro na linha 4, variavel b nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl10 10 "Erro na linha 3, variavel a nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl11 10 "Erro na linha 4, variavel a nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl12 10 "Erro na linha 3, variavel b nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl13 10 "Erro na linha 3, variavel a nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl14 10 "Erro na linha 3, variavel a nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl15 10 "Erro na linha 4, variavel a nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl16 10 "Erro na linha 4, funcao g nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl17 10 "Erro na linha 3, funcao h nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl18 11 "Erro na linha 11, identificador a já declarado na linha 5 "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl19 0 "0x5573dfb4b410 [label= f ]; "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl20 10 "Erro na linha 6, variavel a nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl21 10 "Erro na linha 6, variavel a nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl22 10 "Erro na linha 7, funcao g nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl23 10 "Erro na linha 6, variavel v nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl24 11 "Erro na linha 7, funcao f já declarada na linha 2 "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl25 10 "Erro na linha 10, funcao g nao declarada "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl26 0 "0x55a760f0d4c0 [label= g ]; "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl27 11 "Erro na linha 8, funcao g já declarada na linha 2 "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl28 11 "Erro na linha 2, parâmetro a já declarado na linha 2 "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl29 0 "0x5614e78ba410 [label= f ]; "
GrupoL |DEBUG GrupoL_tests/e4/2024_2/kjl30 11 "Erro na linha 7, funcao main já declarada na linha 2 "
/home/user

GrupoM

/home/user/GrupoM /home/user
There are 31 tests
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl00 10 "Erro na linha 3: A variável a não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl01 11 "Erro na linha 4: O identificador a já foi declarado na linha 3! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl02 11 "Erro na linha 4: O identificador a já foi declarado na linha 3! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl03 0 ""
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl04 11 "Erro na linha 16: O identificador f já foi declarado na linha 2! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl05 11 "Erro na linha 10: O identificador a já foi declarado na linha 3! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl06 0 "0x557adae81470 [label= g ]; "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl07 10 "Erro na linha 3: A variável a não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl08 11 "Erro na linha 3: O identificador b já foi declarado na linha 2! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl09 10 "Erro na linha 4: A variável b não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl10 10 "Erro na linha 3: A variável a não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl11 10 "Erro na linha 4: A variável a não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl12 10 "Erro na linha 3: A variável b não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl13 10 "Erro na linha 3: A variável a não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl14 10 "Erro na linha 3: A variável a não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl15 10 "Erro na linha 4: A variável a não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl16 10 "Erro na linha 4: A função g não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl17 10 "Erro na linha 3: A função h não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl18 11 "Erro na linha 11: O identificador a já foi declarado na linha 5! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl19 0 "0x55e4c9c0d470 [label= f ]; "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl20 10 "Erro na linha 6: A variável a não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl21 10 "Erro na linha 6: A variável a não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl22 10 "Erro na linha 7: A função g não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl23 10 "Erro na linha 6: A variável v não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl24 11 "Erro na linha 7: O identificador f já foi declarado na linha 2! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl25 10 "Erro na linha 10: A função g não foi declarada! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl26 0 "0x556acdd10510 [label= g ]; "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl27 11 "Erro na linha 8: O identificador g já foi declarado na linha 2! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl28 11 "Erro na linha 2: O identificador a já foi declarado na linha 2! "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl29 0 "0x56473ccbb470 [label= f ]; "
GrupoM |DEBUG GrupoM_tests/e4/2024_2/kjl30 11 "Erro na linha 7: O identificador main já foi declarado na linha 2! "
/home/user

GrupoN

/home/user/GrupoN /home/user
There are 31 tests
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl00 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl01 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl02 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl03 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl04 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl05 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl06 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl07 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl08 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl09 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl10 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl11 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl12 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl13 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl14 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl15 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl16 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl17 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl18 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl19 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl20 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl21 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl22 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl23 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl24 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl25 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl26 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl27 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl28 0 ""
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl29 139 "Segmentation fault"
GrupoN |DEBUG GrupoN_tests/e4/2024_2/kjl30 0 ""
/home/user

GrupoO

/home/user/GrupoO /home/user
There are 31 tests
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl00 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol a in line 3. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl01 11 "SEMANTIC ERROR: Attempted to declare symbol a in line 4, but it is already declared in line 3 (nested scope level 2). "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl02 11 "SEMANTIC ERROR: Attempted to declare symbol a in line 4, but it is already declared in line 3 (nested scope level 2). "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl03 0 ""
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl04 11 "SEMANTIC ERROR: Attempted to declare symbol f in line 16, but it is already declared in line 2 (global scope). "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl05 11 "SEMANTIC ERROR: Attempted to declare symbol a in line 10, but it is already declared in line 3 (nested scope level 2). "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl06 134 "Double free detected"
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl07 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol a in line 3. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl08 11 "SEMANTIC ERROR: Attempted to declare symbol b in line 3, but it is already declared in line 2 (nested scope level 2). "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl09 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol b in line 4. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl10 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol a in line 3. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl11 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol a in line 4. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl12 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol b in line 3. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl13 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol a in line 3. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl14 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol a in line 3. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl15 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol a in line 4. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl16 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol g in line 4. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl17 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol h in line 3. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl18 11 "SEMANTIC ERROR: Attempted to declare symbol a in line 5, but it is already declared in line 3 (nested scope level 2). "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl19 11 "SEMANTIC ERROR: Attempted to declare symbol a in line 6, but it is already declared in line 3 (nested scope level 2). "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl20 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol a in line 6. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl21 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol a in line 6. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl22 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol g in line 7. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl23 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol v in line 6. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl24 11 "SEMANTIC ERROR: Attempted to declare symbol f in line 7, but it is already declared in line 2 (global scope). "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl25 10 "SEMANTIC ERROR: Attempted attribution operation with undeclared symbol g in line 10. "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl26 134 "Double free detected"
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl27 11 "SEMANTIC ERROR: Attempted to declare symbol g in line 8, but it is already declared in line 2 (global scope). "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl28 11 "SEMANTIC ERROR: Attempted to declare symbol a in line 2, but it is already declared in line 2 (nested scope level 2). "
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl29 134 "Double free detected"
GrupoO |DEBUG GrupoO_tests/e4/2024_2/kjl30 11 "SEMANTIC ERROR: Attempted to declare symbol main in line 4, but it is already declared in line 2 (global scope). "
/home/user

GrupoP

/home/user/GrupoP /home/user
There are 31 tests
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl00 10 "Line 3: semantic error, Identifier a was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl01 11 "Line 4: semantic error, Identifier a was already declared on line 3. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl02 11 "Line 4: semantic error, Identifier a was already declared on line 3. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl03 0 ""
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl04 11 "Line 16: semantic error, Function f was already declared on line 2. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl05 11 "Line 10: semantic error, Identifier a was already declared on line 3. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl06 0 ""
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl07 10 "Line 3: semantic error, Identifier a was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl08 11 "Line 3: semantic error, Identifier b was already declared on line 2. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl09 10 "Line 4: semantic error, Identifier b was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl10 10 "Line 3: semantic error, Identifier a was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl11 10 "Line 4: semantic error, Identifier a was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl12 10 "Line 3: semantic error, Identifier b was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl13 10 "Line 3: semantic error, Identifier a was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl14 10 "Line 3: semantic error, Identifier a was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl15 10 "Line 4: semantic error, Identifier a was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl16 10 "Line 4: semantic error, Function g was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl17 10 "Line 3: semantic error, Function h was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl18 11 "Line 11: semantic error, Identifier a was already declared on line 5. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl19 0 ""
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl20 10 "Line 6: semantic error, Identifier a was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl21 10 "Line 6: semantic error, Identifier a was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl22 10 "Line 7: semantic error, Function g was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl23 10 "Line 6: semantic error, Identifier v was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl24 11 "Line 7: semantic error, Function f was already declared on line 2. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl25 10 "Line 10: semantic error, Function g was not declared. "
GrupoP |DEBUG GrupoP_tests/e4/2024_2/kjl26 0 ""
